item_topic,source_topic,age_segment,dt,Others,Top and Other,record_id,visits
Деньги,Интерьеры,31-35,9/24/2019 6:57:00 PM,Others,Другие,1040896,1
Деньги,Интерьеры,31-35,9/24/2019 6:59:00 PM,Others,Другие,1040897,2
Деньги,Интерьеры,31-35,9/24/2019 7:00:00 PM,Others,Другие,1040898,1
Деньги,Интерьеры,36-40,9/24/2019 6:56:00 PM,Others,Другие,1040899,4
Деньги,Интерьеры,36-40,9/24/2019 6:58:00 PM,Others,Другие,1040900,1
Деньги,Интерьеры,36-40,9/24/2019 6:59:00 PM,Others,Другие,1040901,2
Деньги,Интерьеры,41-45,9/24/2019 6:55:00 PM,Others,Другие,1040902,1
Деньги,Интерьеры,45+,9/24/2019 6:56:00 PM,Others,Другие,1040903,2
Деньги,Интерьеры,45+,9/24/2019 6:59:00 PM,Others,Другие,1040904,1
Деньги,Искусство,18-25,9/24/2019 6:31:00 PM,Others,Искусство,1040905,2
Деньги,Искусство,18-25,9/24/2019 6:52:00 PM,Others,Искусство,1040906,2
Деньги,Искусство,18-25,9/24/2019 6:54:00 PM,Others,Искусство,1040907,1
Деньги,Искусство,18-25,9/24/2019 6:55:00 PM,Others,Искусство,1040908,9
Деньги,Искусство,18-25,9/24/2019 6:56:00 PM,Others,Искусство,1040909,12
Деньги,Искусство,18-25,9/24/2019 6:57:00 PM,Others,Искусство,1040910,19
Деньги,Искусство,18-25,9/24/2019 6:58:00 PM,Others,Искусство,1040911,17
